序号,代码,名称,最新价 10:29,涨跌幅(%) 10:29,涨跌幅(%) 2026.07.08,成交额 10:29,成交额 2026.07.08,上涨家数(家) 2026.07.09,下跌家数(家) 2026.07.09,指数小类,涨跌额(元) 10:29,最高价(元) 10:29,最低价(元) 10:29,换手率(%) 10:29,量比 10:29,成交量(股) 10:29,市盈率(TTM) 2026.07.10,总市值(元) 2026.07.10
1,861398,国资云概念,1648.37,4.63,7.38,229.07亿,141.75亿,16,3,东财概念,72.90,1653.01,1585.22,0.00,3.62,5.87亿,0.00,0.00
2,861286,VPN,1228.88,5.66,6.44,145.81亿,216.14亿,7,11,东财概念,65.83,1229.89,1150.87,0.00,3.11,4.05亿,0.00,0.00
3,861552,腾讯云,1182.16,3.20,5.37,159.47亿,224.72亿,10,9,东财概念,36.70,1184.11,1131.30,0.00,3.07,4.40亿,0.00,0.00
4,851042,横向通用软件(申万),-,0.00,4.87,-,161.70亿,21,12,申万三级行业,0.00,-,-,0.00,-,-,0.00,0.00
5,851315,辅料(申万),-,0.00,4.54,-,8.53亿,1,2,申万三级行业,0.00,-,-,0.00,-,-,0.00,0.00
6,851927,资产管理(申万),-,0.00,3.99,-,5.27亿,0,4,申万三级行业,0.00,-,-,0.00,-,-,0.00,0.00
7,852111,人工景区(申万),-,0.00,3.88,-,10.01亿,0,5,申万三级行业,0.00,-,-,0.00,-,-,0.00,0.00
8,859621,油田服务(申万),-,0.00,3.59,-,23.15亿,1,5,申万三级行业,0.00,-,-,0.00,-,-,0.00,0.00
9,861424,数字经济,979.20,4.27,3.38,697.64亿,856.89亿,102,74,东财概念,40.11,981.25,937.24,0.00,2.74,32.77亿,0.00,0.00
10,861403,华为欧拉,1077.28,4.05,3.25,57.72亿,70.76亿,11,4,东财概念,41.91,1086.63,1014.56,0.00,3.16,1.93亿,0.00,0.00
