序号,代码,名称,最新价 2026.06.25,涨跌幅(%) 2026.06.25,涨跌幅(%) 2026.06.24,成交额 2026.06.25,成交额 2026.06.24,上涨家数(家) 2026.06.24,下跌家数(家) 2026.06.24,指数小类,涨跌额(元) 2026.06.25,最高价(元) 2026.06.25,最低价(元) 2026.06.25,换手率(%) 2026.06.25,量比 2026.06.25,成交量(股) 2026.06.25,市盈率(TTM) 2026.06.25,总市值(元) 2026.06.25
1,857122,玻纤制造(申万),-,0.00,9.65,-,350.27亿,8,1,申万三级行业,0.00,-,-,0.00,-,-,0.00,8940.39亿
2,850817,集成电路封测(申万),-,0.00,8.83,-,764.47亿,13,0,申万三级行业,0.00,-,-,0.00,-,-,0.00,9394.52亿
3,801712,玻璃玻纤(申万),32669.11,6.93,8.24,403.97亿,381.37亿,8,8,申万二级行业,2116.03,32916.00,30861.20,0.00,0.91,14.43亿,0.00,1.01万亿
4,851563,医疗研发外包(申万),-,0.00,6.60,-,251.24亿,20,9,申万三级行业,0.00,-,-,0.00,-,-,0.00,6992.81亿
5,861300,3D摄像头,1997.67,-0.89,6.47,352.66亿,457.22亿,7,2,东财概念,-17.92,2037.75,1973.38,0.00,1.11,7.40亿,39.69,8395.37亿
6,850731,仪器仪表(申万),-,0.00,6.17,-,220.18亿,16,36,申万三级行业,0.00,-,-,0.00,-,-,0.00,7367.95亿
7,861499,存储芯片,3384.50,4.84,5.60,5141.83亿,4708.02亿,103,20,东财概念,156.24,3396.63,3292.47,0.00,1.10,63.05亿,152.16,10.36万亿
8,861463,先进封装,5713.21,5.37,5.45,1726.42亿,1686.94亿,35,11,东财概念,291.09,5750.45,5474.91,0.00,0.92,22.71亿,196.96,3.25万亿
9,861299,CRO,1585.26,1.19,5.43,235.33亿,264.57亿,23,15,东财概念,18.69,1598.85,1538.63,0.00,1.34,6.43亿,26.12,7599.12亿
10,850818,半导体设备(申万),-,0.00,5.29,-,724.29亿,23,1,申万三级行业,0.00,-,-,0.00,-,-,0.00,2.45万亿
