序号,代码,名称,最新价 2026.06.26,涨跌幅(%) 2026.06.26,涨跌幅(%) 2026.06.23,成交额 2026.06.26,成交额 2026.06.23,上涨家数(家) 2026.06.26,下跌家数(家) 2026.06.26,指数小类,涨跌额(元) 2026.06.26,最高价(元) 2026.06.26,最低价(元) 2026.06.26,换手率(%) 2026.06.26,量比 2026.06.26,成交量(股) 2026.06.26,市盈率(TTM) 2026.06.26,总市值(元) 2026.06.26
1,850324,其他化学原料(申万),4639.74,-2.35,7.22,89.04亿,47.15亿,0,0,申万三级行业,-111.60,4909.85,4573.00,0.00,1.08,3.23亿,23.33,1708.54亿
2,861426,重组蛋白,788.05,-4.87,5.48,32.44亿,50.47亿,0,0,东财概念,-40.36,831.15,788.05,0.00,0.77,1.57亿,40.94,2015.48亿
3,850363,炭黑(申万),3486.97,-2.73,4.79,20.98亿,20.56亿,0,0,申万三级行业,-97.74,3677.54,3437.36,0.00,1.08,1.66亿,42.87,290.59亿
4,851326,家纺(申万),1561.36,-1.37,3.10,5.00亿,4.38亿,0,0,申万三级行业,-21.69,1613.26,1522.20,0.00,1.32,6630.00万,18.99,291.22亿
5,851511,原料药(申万),9553.63,-3.75,3.09,89.67亿,126.32亿,0,0,申万三级行业,-372.23,10048.87,9446.46,0.00,0.84,5.88亿,45.75,3049.16亿
6,861442,户外露营,1167.72,-1.20,3.01,37.32亿,43.08亿,0,0,东财概念,-14.24,1195.93,1164.44,0.00,0.85,3.87亿,42.54,1307.37亿
7,851315,辅料(申万),4795.77,2.82,2.88,2.86亿,1.12亿,0,0,申万三级行业,131.60,4852.34,4777.34,0.00,1.02,1659.00万,21.84,207.55亿
8,861294,阿兹海默,1145.30,-5.11,2.86,50.14亿,52.08亿,0,0,东财概念,-61.63,1208.35,1145.30,0.00,0.91,3.94亿,33.53,2234.89亿
9,861591,昨日打二板以上表现,6322.30,8.42,2.83,33.22亿,251.09亿,0,0,东财概念,490.99,6352.71,6065.75,0.00,0.21,1.69亿,104.07,2611.85亿
10,861509,SPD概念,765.12,-3.34,2.64,14.56亿,20.45亿,0,0,东财概念,-26.42,789.58,765.12,0.00,0.87,1.62亿,18.38,1326.38亿
