序号,代码,名称,最新价(元) 2026.06.26,涨跌幅(%) 2026.06.26,证券类型,涨跌幅(%) 2026.06.23,成交额(元) 2026.06.23,成交额(元) 2026.06.26,申万行业分类,东财行业总分类,概念,涨跌额(元) 2026.06.26,最高价(元) 2026.06.26,最低价(元) 2026.06.26,换手率(%) 2026.06.26,量比 2026.06.26,成交量(股) 2026.06.26,市盈率(动)(倍) 2026.06.26,市净率(倍) 2026.06.26,总市值(元) 2026.06.26,流通市值(元) 2026.06.26
1,920662,方盛股份,25.40,1.60,A股,30.00,1.62亿,1.72亿,机械设备-通用设备-其他通用设备,机械设备-通用设备-其他通用设备,数据中心液冷、专精特新、融资融券、海工装备、液冷概念、充电桩、新能源车、反转股、数据中心、军民融合、氢能源、储能概念、风能,0.400,27.22,23.62,24.78,1.28,669.21万,158.75,4.9155,22.24亿,6.86亿
2,920035,精创电气,27.54,-8.60,A股,29.96,1.96亿,8716.68万,机械设备-通用设备-仪器仪表,机械设备-自动化设备-其他自动化设备,国产芯片、跨境电商、专精特新、融资融券、液冷概念、洁净室、贬值受益、物联网、次新股、冷链物流、云计算,-2.590,30.00,27.44,19.50,0.89,306.90万,42.83,3.3898,19.12亿,4.33亿
3,920367,新赣江,16.30,-9.94,A股,27.90,1.78亿,7865.31万,医药生物-化学制药-原料药,医药生物-化学制药-原料药,融资融券、2025年报预减、维生素C、仿制药一致性评价、流感、医药电商、AI应用、人工智能、智能医疗、创新药、机器人概念、维生素、华为鲲鹏,-1.800,18.01,16.02,11.19,0.96,469.95万,92.91,2.3956,11.55亿,6.84亿
4,300085,银之杰,36.01,-6.76,A股,20.00,46.28亿,40.11亿,计算机-软件开发-垂直应用软件,计算机-软件开发-垂直应用软件,粤港澳大湾区、中盘股、区块链、5G概念、深圳特区、华为概念、跨境电商、互联网金融、信创、AI应用、百度概念、人工智能、富时罗素、机器人概念、华为鲲鹏、云计算、数据要素、融资融券、数字货币、深股通、参股券商、碳交易、电商概念、国产软件、数据确权、语音技术、创业板综、碳中和、大数据,-2.610,40.26,35.98,16.28,0.99,1.06亿,-294.61,60.6304,254.46亿,234.79亿
5,300665,飞鹿股份,10.80,-4.34,A股,20.00,7.14亿,3.79亿,基础化工-化学制品-涂料油墨,基础化工-化学制品-涂料油墨,专精特新、新能源车、水利建设、半导体概念、新能源、铁路基建、光伏概念、新材料、核能核电、农业种植、一带一路、有机硅概念、创业板综、海洋经济、高铁、风能、地下管网、光伏建筑一体化、新型城镇化,-0.490,11.24,10.40,16.16,0.66,3523.28万,-103.62,5.5007,24.79亿,23.55亿
6,300835,龙磁科技,242.36,-4.26,A股,20.00,26.68亿,15.64亿,有色金属-金属新材料-磁性材料,有色金属-金属新材料-磁性材料,稀土永磁、专精特新、深股通、磁材加工、新能源车、数据中心、趋势股、消费电子概念、光伏概念、储能概念、新材料、创业板综、2025年报预增,-10.790,262.00,240.49,7.56,0.68,628.60万,261.91,23.1396,289.01亿,201.51亿
7,688291,金橙子,58.15,-1.44,A股,20.00,5.37亿,2.96亿,计算机-软件开发-垂直应用软件,计算机-软件开发-垂直应用软件,专精特新、融资融券、机器视觉、锂电池概念、3D打印、工业互联,-0.850,59.87,56.77,4.95,0.84,508.24万,28.17,5.9505,59.70亿,59.70亿
8,300721,怡达股份,36.96,5.15,A股,19.99,12.45亿,16.33亿,基础化工-化学制品-其他化学制品,基础化工-化学制品-其他化学制品,国产芯片、昨日高换手、环氧丙烷、电池技术、溶剂、昨日高振幅、锂电池概念、光刻机/胶、创业板综、新能源车、OLED、染料,1.810,39.67,34.28,31.70,1.19,4385.24万,353.44,5.4617,60.93亿,51.13亿
9,300961,深水海纳,14.02,-3.77,A股,19.98,2.62亿,2.23亿,环保-环境治理-水务及水治理,环保-环境治理-水务及水治理,融资融券、鸿蒙概念、海工装备、PPP模式、水利建设、净水概念、深圳特区、节能环保、反转股、创投、污水处理、创业板综、海洋经济、碳中和、机器人概念、新型城镇化,-0.550,14.90,13.71,10.33,1.03,1569.88万,-23.52,4.4941,24.85亿,21.30亿
10,301211,亨迪药业,10.52,-11.00,A股,19.98,1.46亿,2.08亿,医药生物-化学制药-原料药,医药生物-化学制药-原料药,CRO、维生素C、仿制药一致性评价、流感、融资融券、深股通、病原体防治、创业板综、破发股、2025年报预减、维生素、肝炎概念,-1.300,11.48,10.52,4.57,1.20,1907.88万,119.15,1.9461,43.93亿,43.93亿
11,300149,睿智医药,8.50,-6.70,A股,19.95,3.30亿,3.04亿,医药生物-医疗服务-医疗研发外包,医药生物-医疗服务-医疗研发外包,CAR-T细胞疗法、CRO、细胞免疫治疗、创新医疗服务、融资融券、2025年报扭亏、昨日高振幅、深股通、贬值受益、股权转让、AI应用、阿兹海默、DeepSeek概念、人工智能、创业板综、减肥药、富时罗素、重组蛋白、创新药、智能医疗、婴童概念、ADC药物,-0.610,9.68,8.50,7.18,1.00,3406.17万,-58.28,3.3012,42.33亿,40.34亿
12,300167,ST迪威迅,4.65,-1.27,A股,19.91,1.06亿,3594.66万,计算机-IT服务Ⅱ-IT服务Ⅲ,计算机-IT服务Ⅱ-IT服务Ⅲ,军工、智慧政务、全息技术、安防概念、东数西算、算力概念、超清视频、破发股、智慧城市、深圳特区、AI智能体、华为概念、数据中心、互联网服务、氢能源、信创、算力租赁、虚拟数字人、在线教育、横琴新区、人工智能、智能物流,-0.060,4.83,4.55,2.18,0.54,773.60万,-21.96,15.0524,19.36亿,16.46亿
13,300485,赛升药业,8.51,-6.07,A股,18.44,2.78亿,8670.34万,医药生物-生物制品-其他生物制品,医药生物-生物制品-其他生物制品,医疗器械概念、2025年报扭亏、免疫治疗、深股通、病毒防治、破发股、参股新三板、肝炎概念、生物疫苗、创投、流感、单抗概念、中药概念、病原体防治、创业板综、辅助生殖、富时罗素、重组蛋白、创新药,-0.550,9.18,8.50,3.63,0.61,994.86万,219.75,1.2196,40.99亿,23.30亿
14,688179,阿拉丁,24.90,-6.57,A股,18.13,12.27亿,5.19亿,基础化工-化学制品-其他化学制品,基础化工-化学制品-其他化学制品,电商概念、专精特新、猴痘概念、新材料、融资融券、合成生物、光刻机/胶、病原体防治、重组蛋白、沪股通,-1.750,26.55,24.82,5.63,0.71,2039.69万,77.46,6.9822,90.14亿,90.14亿
15,301237,和顺科技,71.53,-3.62,A股,18.00,4.54亿,2.63亿,基础化工-塑料-膜材料,基础化工-塑料-膜材料,光伏概念、消费电子概念、融资融券、碳纤维、创业板综,-2.690,75.74,70.00,6.24,0.79,363.29万,1218.16,4.9744,57.22亿,41.67亿
16,920748,路桥信息,24.00,-5.14,A股,16.74,1.09亿,3294.95万,计算机-IT服务Ⅱ-IT服务Ⅲ,计算机-IT服务Ⅱ-IT服务Ⅲ,福建自贸区、多模态AI、低空经济、融资融券、移动支付、乡村振兴、数字经济、充电桩、车联网、智慧城市、央国企改革、DeepSeek概念、海峡两岸、人工智能、物联网、机器人概念、大数据、超跌股、云计算,-1.300,25.96,24.00,3.58,0.61,131.82万,-75.95,8.8954,18.42亿,8.84亿
17,920675,秉扬科技,7.91,-4.93,A股,16.19,9917.71万,2629.87万,基础化工-非金属材料Ⅱ-非金属材料Ⅲ,基础化工-非金属材料Ⅱ-非金属材料Ⅲ,固废处理、专精特新、融资融券、油气资源、西部大开发、页岩气、油气设服、天然气,-0.410,8.34,7.88,4.14,0.66,326.83万,25.63,2.2803,13.62亿,6.25亿
18,920790,联迪信息,24.38,-8.35,A股,16.05,4.01亿,1.98亿,计算机-IT服务Ⅱ-IT服务Ⅲ,计算机-IT服务Ⅱ-IT服务Ⅲ,融资融券、乡村振兴、贬值受益、车联网、水利建设、数字乡村、智慧城市、云办公、国产软件、电力物联网、互联网金融、AI应用、DeepSeek概念、手机游戏、数据要素,-2.220,27.42,24.00,14.28,0.90,776.17万,-292.90,6.3701,19.25亿,13.25亿
19,300077,国民技术,28.11,-3.17,A股,15.71,43.26亿,27.46亿,电子-半导体-数字芯片设计,电子-半导体-数字芯片设计,国产芯片、粤港澳大湾区、区块链、新能源车、车联网、工业互联、3D打印、深圳特区、AI智能体、宁德时代概念、华为概念、电池技术、消费电子概念、智能家居、CPO概念、MCU芯片、物联网、人脸识别、机器人概念、量子科技、数据安全、移动支付、融资融券、石墨电极、医疗器械概念、数字货币、深股通、充电桩、无人机、知识产权、半导体概念、网络安全、小盘股、光伏概念、生物识别、人形机器人、锂电池概念、创业板综、汽车芯片、汽车电子、无线耳机、EDR概念,-0.920,29.72,28.05,16.97,0.92,9612.12万,-302.67,10.9447,190.62亿,159.19亿
20,301600,慧翰股份,83.60,-5.30,A股,14.74,3.25亿,1.18亿,计算机-计算机设备-其他计算机设备,计算机-计算机设备-其他计算机设备,福建自贸区、专精特新、融资融券、深股通、新能源车、智能座舱、车联网、宁德时代概念、小米概念、长安汽车概念、小盘股、小米汽车、比亚迪概念、创业板综、小盘成长、物联网、机器人概念,-4.680,89.17,83.55,4.28,0.63,138.11万,53.28,7.1770,87.38亿,26.97亿
