序号,代码,名称,最新价(元) 2026.06.25,涨跌幅(%) 2026.06.25,证券类型,成交额(元) 2026.06.25,申万行业分类,股票简称,东财行业总分类,概念,涨跌额(元) 2026.06.25,最高价(元) 2026.06.25,最低价(元) 2026.06.25,换手率(%) 2026.06.25,量比 2026.06.25,成交量(股) 2026.06.25,市盈率(动)(倍) 2026.06.25,市净率(倍) 2026.06.25,总市值(元) 2026.06.25,流通市值(元) 2026.06.25
1,920249,利尔达,11.14,29.99,A股,4.06亿,通信-通信设备-通信终端及配件,利尔达,通信-通信设备-通信终端及配件,国产芯片、5G概念、鸿蒙概念、数字经济、抖音概念、车联网、工业互联、存储芯片、AI智能体、AI芯片、华为概念、消费电子概念、智能穿戴、电力物联网、AI应用、百度概念、智能家居、DeepSeek概念、人工智能、无人驾驶、物联网、阿里概念、人脸识别、机器人概念、安防概念、融资融券、医疗器械概念、华为海思、2025年报扭亏、充电桩、无人机、智能座舱、两轮车、先进封装、芯片分销、光伏概念、人形机器人、智慧灯杆、一带一路、星闪概念、汽车芯片、WiFi6、汽车热管理、传感器、智能物流、飞行汽车、汽车电子,2.570,11.14,8.76,31.03,6.03,3868.20万,79.56,6.0614,46.97亿,13.89亿
2,300650,太龙股份,14.86,20.03,A股,3.87亿,电子-其他电子Ⅱ-其他电子Ⅲ,太龙股份,电子-其他电子Ⅱ-其他电子Ⅲ,国产芯片、LED概念、内贸流通、5G概念、贬值受益、元宇宙概念、半导体概念、存储芯片、智慧城市、芯片分销、华为概念、小米概念、消费电子概念、智慧灯杆、比亚迪概念、海峡两岸、创业板综、物联网、传感器、无线耳机、汽车电子、DRAM存储、机器人概念、MiniLED,2.480,14.86,12.70,16.04,2.91,2733.16万,116.80,2.5076,35.87亿,25.31亿
3,300819,聚杰微纤,84.22,20.01,A股,7.32亿,纺织服饰-纺织制造-其他纺织,聚杰微纤,纺织服饰-纺织制造-其他纺织,电池技术、氢能源、固态电池、深股通、贬值受益、创业板综、体育产业、养老金、机器人概念、PCB,14.040,84.22,68.54,6.96,1.43,937.40万,302.19,14.5910,125.66亿,113.50亿
4,688093,世华科技,34.72,20.01,A股,4.86亿,电子-其他电子Ⅱ-其他电子Ⅲ,世华科技,电子-其他电子Ⅱ-其他电子Ⅲ,消费电子概念、专精特新、融资融券、科创板做市股、新能源车、OLED、沪股通、苹果概念、PCB、华为概念、破增发价股,5.790,34.72,29.00,5.28,4.17,1479.50万,28.51,3.4935,97.35亿,97.35亿
5,300223,北京君正,237.36,20.00,A股,126.58亿,电子-半导体-数字芯片设计,北京君正,电子-半导体-数字芯片设计,国产芯片、中盘股、区块链、鸿蒙概念、贬值受益、抖音概念、CPU、3D打印、存储芯片、深成500、小米概念、智能穿戴、消费电子概念、京津冀一体化、SRAM存储、智能家居、毫米波概念、人工智能、无人驾驶、OLED、科技风格、富时罗素、MCU芯片、物联网、MSCI中国、人脸识别、机器人概念、安防概念、融资融券、AI眼镜、深股通、超清视频、智能座舱、中证500、半导体概念、智能音箱、机器视觉、3D打印设备、创业板综、汽车芯片、传感器、汽车电子、DRAM存储、MiniLED,39.560,237.36,206.00,13.38,1.12,5643.67万,89.98,9.0556,1148.03亿,1000.93亿
6,688376,美埃科技,101.52,20.00,A股,7.80亿,环保-环保设备Ⅱ-环保设备Ⅲ,美埃科技,环保-环保设备Ⅱ-环保设备Ⅲ,国产芯片、专精特新、融资融券、昨日高振幅、洁净室、沪股通、半导体概念、节能环保、数据中心、腾讯概念、上海微电子、中芯概念、光刻机/胶、PM2.5、阿里概念,16.920,101.52,91.28,5.94,2.24,803.84万,108.32,7.0859,137.31亿,137.31亿
7,688380,中微半导,61.74,20.00,A股,14.38亿,电子-半导体-数字芯片设计,中微半导,电子-半导体-数字芯片设计,国产芯片、专精特新、融资融券、华为汽车、电子烟、沪股通、ASIC芯片、半导体概念、存储芯片、小米概念、长安汽车概念、小盘股、消费电子概念、人形机器人、汽车芯片、MCU芯片、2025年报预增、小盘成长、传感器、机器人概念、汽车电子,10.290,61.74,53.00,6.11,1.74,2444.86万,120.58,7.9521,247.19亿,247.19亿
8,688381,帝奥微,51.90,20.00,A股,15.07亿,电子-半导体-模拟芯片设计,帝奥微,电子-半导体-模拟芯片设计,国产芯片、专精特新、5G概念、贬值受益、光通信模块、小米概念、消费电子概念、AI手机结构件、CPO概念、机器人概念、AI手机、安防概念、融资融券、AI眼镜、虚拟现实、智能座舱、沪股通、半导体概念、数据中心、人形机器人、小米汽车、比亚迪概念、海峡两岸、汽车芯片、传感器、汽车电子,8.650,51.90,42.96,12.68,1.75,3139.44万,-130.26,5.1624,128.45亿,128.45亿
9,688669,聚石化学,88.73,20.00,A股,7.22亿,基础化工-塑料-改性塑料,聚石化学,基础化工-塑料-改性塑料,专精特新、融资融券、近期新高、新能源车、钙钛矿电池、趋势股、历史新高 、一带一路、光刻机/胶、百日新高 、磷化工、石墨烯、降解塑料,14.790,88.73,72.04,7.07,1.26,858.33万,-45.04,9.9085,107.66亿,107.66亿
10,688025,杰普特,498.29,18.94,A股,36.62亿,机械设备-自动化设备-激光设备,杰普特,机械设备-自动化设备-激光设备,国产芯片、专精特新、钙钛矿设备、钙钛矿电池、3D打印、深圳特区、宁德时代概念、华为概念、TOPCON电池、通信技术、固态电池、CPO概念、混合现实、2025年报预增、BC电池、融资融券、虚拟现实、沪股通、苹果概念、MPO连接器、PCB、小盘股、光伏概念、机器视觉、光纤概念、比亚迪概念、股权激励、小盘成长,79.350,502.44,400.60,8.54,2.31,811.29万,121.22,20.4151,473.62亿,473.62亿
11,688115,思林杰,66.36,18.29,A股,2.43亿,机械设备-通用设备-仪器仪表,思林杰,机械设备-通用设备-仪器仪表,国产芯片、军工、专精特新、数字孪生、融资融券、虚拟现实、破发股、工业互联、苹果概念、新型工业化、华为概念、机器视觉、WiFi6,10.260,66.65,56.00,6.02,2.03,401.20万,209.87,3.4696,44.24亿,44.24亿
12,300806,斯迪克,117.88,17.77,A股,39.44亿,基础化工-塑料-膜材料,斯迪克,基础化工-塑料-膜材料,专精特新、新能源车、燃料电池概念、柔性屏、华为概念、消费电子概念、电池技术、光刻机/胶、富士康概念、MLCC、深股通、虚拟现实、苹果概念、PCB、光伏概念、小盘股、氢能源、新材料、石墨烯、PCB化学品、创业板综、股权激励、小盘成长、无线耳机、汽车电子、特斯拉概念,17.790,119.93,100.00,11.13,1.14,3520.35万,877.25,22.8874,534.35亿,372.99亿
13,920394,民士达,73.31,17.62,A股,5.01亿,轻工制造-造纸-特种纸,民士达,轻工制造-造纸-特种纸,专精特新、大飞机、低空经济、融资融券、华为汽车、新能源车、无人机、体育产业、特高压、长安汽车概念、新材料、造纸印刷、比亚迪概念、央国企改革、高铁、风能,10.980,78.60,62.05,4.92,1.82,713.58万,87.65,13.1732,107.22亿,106.43亿
14,301418,协昌科技,54.63,16.66,A股,5.47亿,机械设备-自动化设备-工控设备,协昌科技,机械设备-自动化设备-工控设备,国产芯片、消费电子概念、融资融券、石墨烯、创业板综、破发股、2025年报预减、两轮车,7.800,55.99,45.77,35.92,2.04,1057.37万,117.99,2.4915,40.06亿,16.08亿
15,300227,光韵达,13.55,16.01,A股,15.46亿,机械设备-自动化设备-激光设备,光韵达,机械设备-自动化设备-激光设备,粤港澳大湾区、5G概念、新能源车、3D打印、参股新三板、深圳特区、存储芯片、宁德时代概念、新型工业化、华为概念、军民融合、无人机反制、富士康概念、量子科技、成飞概念、军工、大飞机、低空经济、深股通、医美概念、无人机、苹果概念、PCB、机器视觉、光纤概念、比亚迪概念、创业板综,1.870,14.02,11.85,26.27,3.97,1.14亿,-70.41,5.0573,80.75亿,58.68亿
16,300420,五洋自控,9.00,15.68,A股,24.18亿,机械设备-通用设备-其他通用设备,五洋自控,机械设备-通用设备-其他通用设备,安防概念、区块链、2025年报扭亏、液冷概念、充电桩、智慧城市、新型工业化、军民融合、趋势股、创业板综、物联网、智能物流、机器人概念、特斯拉概念,1.220,9.23,7.58,24.97,1.20,2.79亿,618.91,4.2444,100.47亿,100.46亿
17,688525,佰维存储,480.30,15.18,A股,224.71亿,电子-半导体-数字芯片设计,佰维存储,电子-半导体-数字芯片设计,国产芯片、粤港澳大湾区、专精特新、AIPC、上证180_、国家大基金持股、存储芯片、小米概念、华为概念、东方财富热股、智能穿戴、消费电子概念、趋势股、信创、科技风格、2025年报预增、MSCI中国、阿里概念、AI手机、机器人概念、融资融券、AI眼镜、沪股通、半导体概念、先进封装、大盘股、数据中心、人形机器人、比亚迪概念、股权激励、汽车芯片、DRAM存储,63.300,488.00,438.00,10.28,1.12,4845.68万,19.53,26.8440,2264.93亿,2264.93亿
18,301265,华新科技,31.84,14.53,A股,6.30亿,环保-环境治理-固废治理,华新科技,环保-环境治理-固废治理,金属铜、镍矿、国产芯片、稀土永磁、融资融券、深股通、金属钴、金属回收、存储芯片、金属镍、固废处理、汽车拆解、2026一季报预增、百度概念、创业板综、小金属概念、黄金概念,4.040,32.60,27.56,8.47,2.12,2067.58万,74.58,4.6006,96.47亿,77.76亿
19,688403,汇成股份,41.30,14.09,A股,68.40亿,电子-半导体-集成电路封测,汇成股份,电子-半导体-集成电路封测,国产芯片、专精特新、融资融券、昨日高振幅、近期新高、昨日首板、贬值受益、沪股通、半导体概念、存储芯片、先进封装、最近多板、小盘股、趋势股、历史新高 、百日新高 、OLED、汽车芯片、小盘成长、先进封装设备,5.100,43.30,39.00,16.68,1.82,1.65亿,-798.76,9.2649,409.26亿,409.26亿
20,688545,兴福电子,125.70,14.01,A股,37.60亿,电子-电子化学品Ⅱ-电子化学品Ⅲ,兴福电子,电子-电子化学品Ⅱ-电子化学品Ⅲ,国产芯片、专精特新、融资融券、长江存储、国家大基金持股、注册制次新股、沪股通、半导体概念、存储芯片、先进封装、小盘股、趋势股、长鑫存储、中芯概念、央国企改革、磷化工、光刻机/胶、有机硅概念、独角兽、小盘成长、湖北三资改革,15.450,132.30,105.70,17.25,1.62,3142.96万,176.71,15.5502,452.52亿,229.09亿
