序号,代码,名称,最新价(元) 10:31,涨跌幅(%) 10:31,证券类型,涨跌幅(%) 2026.07.07,成交额(元) 2026.07.07,成交额(元) 10:31,申万行业分类,股票简称,东财行业总分类,概念,涨跌额(元) 10:31,最高价(元) 10:31,最低价(元) 10:31,换手率(%) 10:31,量比 10:31,成交量(股) 10:31,市盈率(动)(倍) 2026.07.10,市净率(倍) 2026.07.10,总市值(元) 2026.07.10,流通市值(元) 2026.07.10
1,920527,夜光明,16.15,-5.00,A股,25.06,1.27亿,4746.80万,纺织服饰-纺织制造-辅料,夜光明,纺织服饰-纺织制造-辅料,专精特新、培育钻石、融资融券、体育产业、反转股,-0.850,17.39,16.05,6.12,2.28,284.85万,44.05,2.5266,9.70亿,7.52亿
2,301251,威尔高,54.78,-5.57,A股,20.00,2.15亿,5.31亿,电子-元件-印制电路板,威尔高,电子-元件-印制电路板,专精特新、融资融券、5G概念、深股通、光通信模块、工业互联、新型工业化、PCB、华为概念、数据中心、最近多板、昨日高换手、一带一路、CPO概念、创业板综、富士康概念、机器人概念、汽车电子、MiniLED,-3.230,57.79,53.77,12.60,2.86,952.39万,379.83,6.6740,103.31亿,41.42亿
3,301516,中远通,20.80,8.73,A股,20.00,4.18亿,3.41亿,电力设备-其他电源设备Ⅱ-其他电源设备Ⅲ,中远通,电力设备-其他电源设备Ⅱ-其他电源设备Ⅲ,5G概念、融资融券、低空经济、高压快充、充电桩、深股通、新能源车、两轮车、新型工业化、反转股、数据中心、通信技术、光伏概念、昨日高换手、氢能源、储能概念、核能核电、换电概念、比亚迪概念、央国企改革、创业板综、中字头,1.670,21.78,19.00,23.53,3.26,1651.36万,-178.31,4.6085,58.39亿,14.60亿
4,688432,有研硅,56.73,5.50,A股,20.00,33.89亿,27.79亿,电子-半导体-半导体材料,有研硅,电子-半导体-半导体材料,题材股、国产芯片、融资融券、昨日高振幅、近期新高、沪股通、绿色电力、硅能源、半导体概念、存储芯片、最近多板、东方财富热股、小盘股、趋势股、中芯概念、历史新高 、百日新高 、半导体硅片,2.960,58.80,50.02,3.98,2.41,4971.65万,353.51,15.9693,709.55亿,709.55亿
5,688261,东微半导,94.40,-1.77,A股,16.33,19.03亿,6.34亿,电子-半导体-分立器件,东微半导,电子-半导体-分立器件,国产芯片、专精特新、融资融券、5G概念、东数西算、人脑工程、IGBT概念、高压快充、液冷概念、充电桩、算力概念、新能源车、第三代半导体、沪股通、半导体概念、碳化硅、数据中心、第四代半导体、光伏概念、储能概念、人形机器人、比亚迪概念、机器人概念,-1.700,99.80,92.91,5.36,1.97,654.88万,520.31,3.9362,115.67亿,115.22亿
6,688584,上海合晶,45.36,12.64,A股,15.31,11.40亿,15.87亿,电子-半导体-半导体材料,上海合晶,电子-半导体-半导体材料,题材股、国产芯片、专精特新、融资融券、昨日高振幅、昨日首板、贬值受益、沪股通、半导体概念、最近多板、东方财富热股、小盘股、趋势股、半导体硅片,5.090,48.32,44.00,9.98,4.79,3426.09万,604.38,7.2915,303.41亿,155.65亿
7,688605,先锋精科,116.68,-0.19,A股,15.22,13.64亿,10.22亿,电子-半导体-半导体设备,先锋精科,电子-半导体-半导体设备,国产芯片、专精特新、医疗器械概念、融资融券、注册制次新股、商业航天、沪股通、半导体概念、小盘股、趋势股、光伏概念、中芯概念、光刻机/胶、小盘成长,-0.220,130.00,115.00,7.73,2.72,837.98万,238.72,14.3393,236.54亿,126.64亿
8,301237,和顺科技,66.09,-2.69,A股,14.63,7.43亿,1.10亿,基础化工-塑料-膜材料,和顺科技,基础化工-塑料-膜材料,光伏概念、消费电子概念、融资融券、碳纤维、创业板综,-1.830,69.00,65.54,2.79,0.98,162.79万,1126.20,4.5988,52.90亿,38.52亿
9,300985,致远新能,45.86,-2.18,A股,14.43,6.28亿,1.99亿,机械设备-通用设备-金属制品,致远新能,机械设备-通用设备-金属制品,氢能源、电池技术、趋势股、融资融券、油气资源、锂电池概念、石墨烯、创业板综、新能源车、天然气,-1.020,48.80,45.60,2.27,1.53,423.54万,190.08,9.6763,85.53亿,85.53亿
10,300043,星辉娱乐,5.60,5.86,A股,14.13,9.01亿,4.51亿,传媒-游戏Ⅱ-游戏Ⅲ,星辉娱乐,传媒-游戏Ⅱ-游戏Ⅲ,鸿蒙概念、贬值受益、元宇宙概念、抖音概念、网络游戏、即梦AI、反转股、华为概念、跨境电商、腾讯概念、AI游戏、AI应用、横琴新区、人工智能、手机游戏、富时罗素、婴童概念、云游戏、2025年报扭亏、数字货币、深股通、新消费、电子竞技、三胎概念、NFT概念、创业板综、谷子经济、文娱消费、儿童玩具,0.310,5.65,5.19,6.64,2.87,8261.43万,33.61,4.0370,69.68亿,69.64亿
