序号,代码,名称,最新价 10:28,涨跌幅(%) 10:28,成交额 10:28,上涨家数(家) 2026.07.09,下跌家数(家) 2026.07.09,指数小类,涨跌额(元) 10:28,最高价(元) 10:28,最低价(元) 10:28,换手率(%) 10:28,量比 10:28,成交量(股) 10:28,市盈率(TTM) 2026.07.10,总市值(元) 2026.07.10
1,861364,快手概念,1209.09,6.88,134.37亿,22,11,东财概念,77.79,1218.74,1116.81,0.00,4.05,13.18亿,0.00,0.00
2,801765,广告营销(申万),2503.03,6.65,131.02亿,22,5,申万二级行业,156.04,2526.54,2305.91,0.00,3.85,14.01亿,0.00,0.00
3,861591,昨日打二板以上表现,5982.30,6.11,16.72亿,2,0,东财概念,344.37,6039.63,5877.81,0.00,0.38,3586.81万,0.00,0.00
4,861531,Kimi概念,1051.69,5.73,109.30亿,12,3,东财概念,56.98,1060.97,981.60,0.00,3.92,3.68亿,0.00,0.00
5,861417,DRG/DIP,643.07,5.64,28.75亿,9,9,东财概念,34.35,647.35,604.80,0.00,4.15,3.01亿,0.00,0.00
6,861320,抖音概念(字节概念),1337.05,5.46,791.19亿,58,33,东财概念,69.24,1339.65,1275.90,0.00,3.35,29.89亿,0.00,0.00
7,861286,VPN,1222.89,5.15,142.44亿,7,11,东财概念,59.85,1229.89,1150.87,0.00,3.12,3.99亿,0.00,0.00
8,861472,Web3.0,1378.44,5.10,221.52亿,31,15,东财概念,66.86,1388.69,1289.01,0.00,3.54,17.83亿,0.00,0.00
9,861513,短剧互动游戏,1163.03,5.03,215.87亿,26,12,东财概念,55.68,1172.21,1089.95,0.00,3.62,20.89亿,0.00,0.00
10,861249,百度概念,1822.90,5.00,952.36亿,88,55,东财概念,86.81,1826.32,1746.12,0.00,3.16,41.25亿,0.00,0.00
