序号,代码,名称,最新价(元) 10:28,涨跌幅(%) 10:28,证券类型,涨跌幅(%) 2026.07.09,成交额(元) 2026.07.09,成交额(元) 10:28,申万行业分类,股票简称,东财行业总分类,概念,涨跌额(元) 10:28,最高价(元) 10:28,最低价(元) 10:28,换手率(%) 10:28,量比 10:28,成交量(股) 10:28,市盈率(动)(倍) 2026.07.10,市净率(倍) 2026.07.10,总市值(元) 2026.07.10,流通市值(元) 2026.07.10
1,300308,中际旭创,1177.99,-1.42,A股,5.90,416.09亿,218.13亿,通信-通信设备-通信网络设备及器件,中际旭创,通信-通信设备-通信网络设备及器件,国产芯片、数据中心液冷、5G概念、深证100R、贬值受益、光通信模块、深成500、节能环保、通信技术、东方财富热股、创投、HS300_、大盘成长、CPO概念、无人驾驶、中国AI 50、科技风格、富时罗素、2025年报预增、MSCI中国、激光雷达、权重股、融资融券、行业龙头、液冷概念、深股通、算力概念、F5G概念、大盘股、数据中心、创业板综、汽车电子,-16.910,1218.00,1166.50,1.65,2.31,1831.86万,57.23,37.8952,1.31万亿,1.31万亿
2,603986,兆易创新,682.96,2.93,A股,10.00,381.85亿,293.63亿,电子-半导体-数字芯片设计,兆易创新,电子-半导体-数字芯片设计,国产芯片、上证180_、贬值受益、2026中报预增、存储芯片、标准普尔、小米概念、最近多板、东方财富热股、智能穿戴、消费电子概念、HS300_、大盘成长、SRAM存储、人工智能、央视50_、科技风格、富时罗素、MCU芯片、物联网、MSCI中国、题材股、融资融券、AI眼镜、昨日首板、超清视频、沪股通、半导体概念、大盘股、光伏概念、长鑫存储、上证50_、人形机器人、锂电池概念、汽车芯片、传感器、无线耳机、DRAM存储、汽车电子,19.470,707.97,675.83,6.33,2.96,4230.63万,82.00,19.3370,4792.78亿,4565.67亿
3,000725,京东方Ａ,8.05,-1.23,A股,6.82,301.17亿,145.76亿,电子-光学光电子-面板,京东方A,电子-光学光电子-面板,国产芯片、屏下摄像、LED概念、周期股、深证100R、AIPC、深成500、东方财富热股、智能穿戴、AI应用、OLED、富时罗素、物联网、机器人概念、题材股、AB股、民营医院、融资融券、行业龙头、显示技术、超清视频、苹果概念、先进封装、光伏概念、玻璃基板、智慧灯杆、光纤概念、裸眼3D、新零售、智能医疗、MiniLED、电子纸概念、昨日高振幅、新能源车、钙钛矿电池、工业互联、2026中报预增、标准普尔、柔性屏、华为概念、小米概念、长安汽车概念、消费电子概念、HS300_、巨量转移、MicroLED、央国企改革、荣耀概念、CPO概念、人工智能、混合现实、科技风格、MSCI中国、医疗器械概念、AI眼镜、深股通、虚拟电厂、充电桩、医美概念、虚拟现实、智能座舱、智慧城市、大盘股、UWB概念、电子竞技、传感器、光伏建筑一体化,-0.100,8.34,8.01,5.06,2.04,17.88亿,43.67,2.2249,2982.07亿,2847.05亿
4,002384,东山精密,267.98,2.55,A股,10.00,277.86亿,156.94亿,电子-元件-印制电路板,东山精密,电子-元件-印制电路板,国产芯片、光芯片、LED概念、5G概念、周期股、深证100R、昨日高振幅、高压快充、贬值受益、光通信模块、新能源车、标准普尔、深成500、华为概念、小米概念、最近多板、通信技术、东方财富热股、创投、智能穿戴、消费电子概念、HS300_、2026一季报预增、CPO概念、OLED、科技风格、富时罗素、MSCI中国、AI手机、机器人概念、题材股、融资融券、深股通、昨日首板、大盘股、苹果概念、PCB、数据中心、人形机器人、光纤概念、服务器PCB、长江三角、MiniLED、特斯拉概念,6.660,274.50,262.50,4.20,2.36,5823.92万,110.40,21.6514,4901.38亿,3709.80亿
5,300502,新易盛,559.07,2.49,A股,6.78,261.01亿,135.15亿,通信-通信设备-通信网络设备及器件,新易盛,通信-通信设备-通信网络设备及器件,国产芯片、权重股、5G概念、融资融券、深证100R、西部大开发、深股通、算力概念、贬值受益、光通信模块、深成500、大盘股、通信技术、数据中心、东方财富热股、HS300_、大盘成长、CPO概念、创业板综、中国AI 50、科技风格、富时罗素、2025年报预增、MSCI中国,13.570,570.98,548.00,1.93,2.08,2414.90万,70.07,40.1393,7792.36亿,7009.84亿
6,688256,寒武纪,1563.13,1.83,A股,8.59,245.79亿,94.99亿,电子-半导体-数字芯片设计,寒武纪,电子-半导体-数字芯片设计,国产芯片、东数西算、上证180_、AI芯片、HS300_、大盘成长、边缘计算、人工智能、国产操作系统、中国AI 50、科技风格、MSCI中国、阿里概念、权重股、融资融券、2025年报扭亏、算力概念、沪股通、ASIC芯片、半导体概念、先进封装、大盘股、数据中心、上证50_、阿里系算力、汽车芯片,28.120,1563.13,1512.00,0.98,2.07,618.36万,241.95,80.1201,9805.77亿,9805.77亿
7,688981,中芯国际,173.72,0.42,A股,13.74,236.46亿,93.68亿,电子-半导体-集成电路制造,中芯国际,电子-半导体-集成电路制造,国产芯片、昨日高振幅、上证180_、国家大基金持股、存储芯片、东方财富热股、消费电子概念、HS300_、中芯概念、科创板做市股、百日新高 、中国AI 50、科技风格、OLED、物联网、MSCI中国、上海自贸、题材股、权重股、融资融券、行业龙头、近期新高、沪股通、半导体概念、大盘股、上证50_、历史新高 、茅指数、汽车电子,0.720,176.34,168.80,2.71,2.29,5409.59万,273.11,9.9262,1.49万亿,3473.24亿
8,688008,澜起科技,289.66,1.35,A股,15.64,219.58亿,115.98亿,电子-半导体-数字芯片设计,澜起科技,电子-半导体-数字芯片设计,国产芯片、AIPC、昨日高振幅、上证180_、贬值受益、CPU、存储芯片、AI芯片、东方财富热股、消费电子概念、HS300_、大盘成长、中芯概念、人工智能、科技风格、富时罗素、2025年报预增、MSCI中国、云计算、数据安全、题材股、融资融券、算力概念、沪股通、半导体概念、大盘股、数据中心、上证50_、DRAM存储,3.860,297.96,285.09,3.46,2.45,3965.69万,104.28,16.9558,3534.56亿,3315.12亿
9,000063,中兴通讯,42.75,6.00,A股,9.38,209.84亿,103.39亿,通信-通信设备-通信网络设备及器件,中兴通讯,通信-通信设备-通信网络设备及器件,国产芯片、屏下摄像、多模态AI、区块链、深证100R、乡村振兴、数字经济、抖音概念、深圳特区、深成500、AI智能体、AI芯片、交换机、东方财富热股、智能穿戴、腾讯概念、边缘计算、AI应用、国产操作系统、量子通信、中国AI 50、富时罗素、无线充电、物联网、机器人概念、低空经济、融资融券、液冷概念、超清视频、无人机、商业航天、ChatGPT概念、网络安全、数据中心、AI手机代工、卫星导航、光纤概念、星闪概念、汽车芯片、智能医疗、无线耳机、数据中心液冷、5G概念、东数西算、IPv6、昨日高振幅、通感一体化、证金持股、新能源车、元宇宙概念、DPU、车联网、水利建设、工业互联、标准普尔、通信技术、消费电子概念、HS300_、信创、百度概念、在线教育、DeepSeek概念、人工智能、科技风格、MSCI中国、AI手机、量子科技、卫星互联网、云计算、6G概念、AI眼镜、深股通、算力概念、虚拟现实、空管系统、智慧城市、大盘股、人形机器人、锂电池概念、比亚迪概念、海峡两岸、太赫兹、汽车电子,2.420,43.00,39.63,6.21,4.52,2.50亿,39.02,2.6673,2045.44亿,1722.21亿
10,600584,长电科技,111.10,7.32,A股,10.00,204.97亿,162.59亿,电子-半导体-集成电路封测,长电科技,电子-半导体-集成电路封测,国产芯片、IGBT概念、昨日高振幅、上证180_、国家大基金持股、贬值受益、第三代半导体、存储芯片、标准普尔、最近多板、通信技术、东方财富热股、智能穿戴、消费电子概念、HS300_、中芯概念、高带宽内存、央国企改革、CPO概念、毫米波概念、人工智能、无人驾驶、科技风格、富时罗素、物联网、MSCI中国、机器人概念、题材股、华为海思、融资融券、昨日首板、沪股通、绿色电力、半导体概念、先进封装、大盘股、苹果概念、玻璃基板、新材料、生物识别、汽车芯片、先进封装设备、长江三角、汽车电子,7.580,113.87,107.77,8.16,2.89,1.46亿,171.05,6.9474,1986.07亿,1986.07亿
