序号,代码,名称,最新价(元) 11:19,涨跌幅(%) 11:19,证券类型,涨跌幅(%) 2026.07.06,成交额(元) 2026.07.06,成交额(元) 11:19,申万行业分类,股票简称,东财行业总分类,概念,涨跌额(元) 11:19,最高价(元) 11:19,最低价(元) 11:19,换手率(%) 11:19,量比 11:19,成交量(股) 11:19,市盈率(动)(倍) 2026.07.10,市净率(倍) 2026.07.10,总市值(元) 2026.07.10,流通市值(元) 2026.07.10
1,688206,概伦电子,51.00,-3.77,A股,20.01,11.52亿,8.23亿,计算机-软件开发-垂直应用软件,概伦电子,计算机-软件开发-垂直应用软件,国产芯片、专精特新、融资融券、2025年报扭亏、昨日高振幅、近期新高、沪股通、EDA概念、存储芯片、小盘股、信创、中芯概念、百日新高 、小盘成长,-2.000,54.83,50.68,3.60,1.67,1569.89万,-452.87,11.1114,222.66亿,222.66亿
2,300684,中石科技,72.28,5.73,A股,20.00,33.57亿,13.48亿,电子-电子化学品Ⅱ-电子化学品Ⅲ,中石科技,电子-电子化学品Ⅱ-电子化学品Ⅲ,数据中心液冷、5G概念、AIPC、新能源车、柔性屏、华为概念、小米概念、通信技术、消费电子概念、2025三季报预增、京津冀一体化、毫米波概念、CPO概念、混合现实、富士康概念、无线充电、2025年报预增、AI手机、液冷概念、深股通、充电桩、虚拟现实、智能座舱、无人机、苹果概念、数据中心、小盘股、光伏概念、新材料、一带一路、比亚迪概念、石墨烯、创业板综、小盘成长、汽车热管理、汽车电子,3.920,74.63,68.37,9.10,1.32,1860.05万,83.55,10.7705,216.49亿,147.67亿
3,301191,菲菱科思,129.11,2.48,A股,20.00,17.00亿,12.19亿,通信-通信设备-通信终端及配件,菲菱科思,通信-通信设备-通信终端及配件,国产芯片、安防概念、6G概念、融资融券、5G概念、OCS交换机、深股通、智能座舱、车联网、F5G概念、网络安全、华为概念、小米概念、数据中心、通信技术、交换机、趋势股、创投、信创、创业板综、WiFi6、汽车电子,3.120,134.88,126.76,12.82,1.70,936.37万,162.99,7.4029,125.02亿,94.26亿
4,301317,鑫磊股份,64.41,12.04,A股,20.00,3.68亿,4.21亿,机械设备-通用设备-其他通用设备,鑫磊股份,机械设备-通用设备-其他通用设备,专精特新、融资融券、共同富裕示范区、昨日高振幅、液冷概念、深股通、新能源车、磁悬浮压缩机、昨日触板、数据中心、昨日高换手、污水处理、空气能热泵、中俄贸易概念、创业板综、昨日炸板、人工智能、2025年报预增,6.920,65.80,56.92,12.99,2.27,677.89万,-130.12,8.5581,101.06亿,33.56亿
5,688039,当虹科技,41.36,2.89,A股,20.00,3.36亿,1.31亿,计算机-IT服务Ⅱ-IT服务Ⅲ,当虹科技,计算机-IT服务Ⅱ-IT服务Ⅲ,专精特新、多模态AI、鸿蒙概念、AIPC、元宇宙概念、腾讯概念、华为昇腾、信创、AI应用、边缘计算、DeepSeek概念、在线教育、人工智能、AI语料、阿里概念、人脸识别、脑机接口、机器人概念、卫星互联网、华为鲲鹏、Sora概念、云计算、智慧政务、安防概念、融资融券、低空经济、显示技术、虚拟现实、超清视频、智能座舱、无人机、AIGC概念、沪股通、商业航天、互联网服务、英伟达概念、国产软件、Web3.0、人形机器人、卫星导航、虚拟数字人、比亚迪概念、星闪概念、增强现实、裸眼3D、华为欧拉,1.160,42.91,39.50,2.84,1.47,314.57万,-75.17,4.4068,45.74亿,45.74亿
6,688496,*ST清越,0.88,-2.22,A股,19.77,1929.63万,407.28万,电子-光学光电子-LED,*ST清越,电子-光学光电子-LED,专精特新、电子纸概念、融资融券、AI眼镜、显示技术、破发股、低价股、小米概念、华为概念、智能穿戴、消费电子概念、智能家居、OLED、超跌股,-0.020,0.90,0.85,1.97,0.87,469.60万,-3.05,0.4441,3.96亿,2.09亿
7,300716,*ST泉为,17.99,1.07,A股,19.07,3.59亿,1.16亿,电力设备-光伏设备-光伏电池组件,*ST泉为,基础化工-塑料-改性塑料,华为汽车、新能源车、钙钛矿电池、长期破净、节能环保、智能音箱、TOPCON电池、军民融合、长安汽车概念、光伏概念、储能概念、新材料、HJT电池、碳中和、降解塑料,0.190,20.98,17.00,4.01,1.11,641.18万,-47.67,-16.1274,28.79亿,28.79亿
8,688689,银河微电,61.67,-8.42,A股,18.70,12.38亿,6.83亿,电子-半导体-分立器件,银河微电,电子-半导体-分立器件,国产芯片、专精特新、5G概念、融资融券、IGBT概念、转债标的、新能源车、第三代半导体、氮化镓、半导体概念、先进封装、碳化硅、比亚迪概念、无人驾驶、汽车芯片、传感器、汽车电子,-5.670,67.82,61.00,8.08,1.64,1063.76万,110.84,5.5690,81.18亿,81.18亿
9,688103,国力电子,104.14,3.14,A股,16.78,7.51亿,8.86亿,电子-其他电子Ⅱ-其他电子Ⅲ,国力电子,电子-其他电子Ⅱ-其他电子Ⅲ,国产芯片、培育钻石、昨日高振幅、高压快充、转债标的、新能源车、宁德时代概念、华为概念、电池技术、趋势股、固态电池、储能概念、百日新高 、电源电缆、2025年报预增、军工、大飞机、融资融券、低空经济、华为汽车、近期新高、商业航天、沪股通、半导体概念、特高压、新能源、光伏概念、历史新高 、可控核聚变、风能、飞行汽车、柔性直流输电,3.170,112.99,100.00,8.77,2.19,835.81万,369.03,8.9831,99.26亿,99.26亿
10,920699,DR海达尔,93.99,-5.07,A股,15.26,2.59亿,1.18亿,家用电器-家电零部件Ⅱ-家电零部件Ⅲ,海达尔,家用电器-家电零部件Ⅱ-家电零部件Ⅲ,趋势股、融资融券、东数西算、历史新高 、比亚迪概念、百日新高 、近期新高、华为概念,-5.020,101.99,92.00,4.22,1.34,123.30万,147.14,17.7743,59.41亿,27.18亿
11,688197,首药控股-U,42.72,13.11,A股,14.67,4.29亿,1.62亿,医药生物-化学制药-化学制剂,首药控股-U,医药生物-化学制药-化学制剂,融资融券、破发股、创新药、沪股通,4.950,43.38,37.18,6.20,1.55,397.06万,-105.25,9.5526,63.53亿,27.34亿
12,301269,华大九天,118.66,-3.85,A股,14.05,39.00亿,21.80亿,计算机-软件开发-垂直应用软件,华大九天,计算机-软件开发-垂直应用软件,国产芯片、专精特新、中盘股、融资融券、深证100R、深股通、国家大基金持股、中盘成长、EDA概念、存储芯片、深成500、先进封装、小米概念、华为概念、趋势股、HS300_、信创、京津冀一体化、央国企改革、AI应用、摩尔链、人工智能、创业板综、MSCI中国,-4.750,124.06,117.60,3.31,1.53,1805.35万,-221.54,12.6339,646.94亿,646.94亿
13,920211,新睿电子,147.92,7.97,A股,14.04,5.36亿,1.74亿,机械设备-自动化设备-工控设备,新睿电子,机械设备-自动化设备-机器人,专精特新、融资融券、次新股、机器人概念,10.920,152.94,133.95,21.09,1.37,121.49万,81.49,12.2554,50.88亿,8.52亿
14,920344,三元基因,20.78,6.56,A股,13.46,1.06亿,4214.37万,医药生物-生物制品-其他生物制品,三元基因,医药生物-生物制品-其他生物制品,CAR-T细胞疗法、细胞免疫治疗、三胎概念、专精特新、融资融券、医药电商、京津冀一体化、破发股、2025年报预减、重组蛋白、创新药、肝炎概念,1.280,20.80,18.80,1.85,1.68,209.95万,592.16,4.0369,25.31亿,23.63亿
15,300821,东岳硅材,27.75,-8.51,A股,12.92,39.78亿,48.78亿,基础化工-化学制品-有机硅,东岳硅材,基础化工-化学制品-有机硅,题材股、融资融券、昨日高振幅、深股通、近期新高、燃料电池概念、硅橡胶、2026中报预增、硅能源、东方财富热股、小盘股、氢能源、电池技术、趋势股、新材料、2026一季报预增、百日新高 、有机硅概念、创业板综、富时罗素、有机硅单体,-2.580,30.49,26.82,14.21,2.20,1.70亿,42.86,6.5197,332.64亿,332.58亿
16,301201,诚达药业,37.86,9.11,A股,12.83,8.94亿,5.20亿,医药生物-医疗服务-医疗研发外包,诚达药业,医药生物-医疗服务-医疗研发外包,昨日高换手、CRO、细胞免疫治疗、专精特新、融资融券、合成生物、昨日高振幅、深股通、创业板综、破发股、创新药、肝炎概念,3.160,38.55,33.50,13.18,1.70,1430.29万,209.14,2.8281,58.57亿,41.09亿
17,920230,欧康医药,10.45,5.88,A股,12.72,1.03亿,2615.21万,医药生物-化学制药-原料药,欧康医药,医药生物-化学制药-原料药,专精特新、合成生物、融资融券、西部大开发、2025年报预减、维生素,0.580,10.50,9.64,5.45,1.11,257.58万,119.06,2.5816,10.50亿,4.94亿
18,688767,博拓生物,38.31,3.32,A股,12.51,2.72亿,4414.40万,医药生物-医疗器械-体外诊断,博拓生物,医药生物-医疗器械-体外诊断,融资融券、医疗器械概念、人脑工程、病毒防治、贬值受益、2025年报预减、体外诊断概念、流感检测、沪股通、芬太尼、肝炎概念、猴痘概念、流感、科创板做市股、病原体防治、人工智能、辅助生殖、脑机接口、幽门螺杆菌概念,1.230,38.78,36.36,0.78,0.70,116.58万,-140.11,2.5359,57.21亿,57.21亿
19,688629,华丰科技,216.27,3.14,A股,11.81,66.79亿,41.22亿,国防军工-军工电子Ⅱ-军工电子Ⅲ,华丰科技,国防军工-军工电子Ⅱ-军工电子Ⅲ,中盘股、5G概念、西部大开发、高压快充、新能源车、光通信模块、铜缆高速连接、先进制造风格、华为概念、趋势股、腾讯概念、核能核电、央国企改革、CPO概念、MSCI中国、阿里概念、机器人概念、军工、融资融券、低空经济、2025年报扭亏、液冷概念、卫星通信、无人机、中盘成长、上证380、中证500、商业航天、沪股通、数据中心、卫星导航、比亚迪概念、高铁,6.590,228.16,212.22,4.08,1.53,1879.79万,240.88,34.9720,1012.79亿,997.08亿
20,301345,涛涛车业,264.30,-2.81,A股,11.69,11.08亿,3.20亿,汽车-摩托车及其他-摩托车,涛涛车业,汽车-摩托车及其他-摩托车,专精特新、融资融券、深股通、贬值受益、2026中报预增、两轮车、深成500、小盘股、趋势股、跨境电商、2025三季报预增、人形机器人、2026一季报预增、创业板综、无人驾驶、交运设备、2025年报预增、小盘成长、电动两轮车、机器人概念,-7.630,276.27,260.10,3.45,0.76,120.70万,40.87,7.9725,288.22亿,92.58亿
