序号,代码,名称,最新价 10:31,涨跌幅(%) 10:31,涨跌幅(%) 2026.07.07,成交额 10:31,成交额 2026.07.07,上涨家数(家) 2026.07.09,下跌家数(家) 2026.07.09,指数小类,涨跌额(元) 10:31,最高价(元) 10:31,最低价(元) 10:31,换手率(%) 10:31,量比 10:31,成交量(股) 10:31,市盈率(TTM) 2026.07.10,总市值(元) 2026.07.10
1,850817,集成电路封测(申万),-,0.00,4.90,-,640.68亿,13,0,申万三级行业,0.00,-,-,0.00,-,-,0.00,0.00
2,850813,半导体材料(申万),-,0.00,2.67,-,569.51亿,26,0,申万三级行业,0.00,-,-,0.00,-,-,0.00,0.00
3,850136,有机硅(申万),-,0.00,2.29,-,86.56亿,9,1,申万三级行业,0.00,-,-,0.00,-,-,0.00,0.00
4,850853,品牌消费电子(申万),-,0.00,2.09,-,38.21亿,10,0,申万三级行业,0.00,-,-,0.00,-,-,0.00,0.00
5,801764,游戏Ⅱ(申万),2954.07,2.75,1.96,142.63亿,268.54亿,15,10,申万二级行业,79.02,2973.01,2803.98,0.00,2.62,8.62亿,0.00,0.00
6,857641,游戏Ⅲ(申万),-,0.00,1.96,-,268.54亿,15,10,申万三级行业,0.00,-,-,0.00,-,-,0.00,0.00
7,850812,分立器件(申万),-,0.00,1.74,-,371.93亿,17,1,申万三级行业,0.00,-,-,0.00,-,-,0.00,0.00
8,857821,国有大型银行Ⅲ(申万),-,0.00,1.72,-,104.14亿,0,6,申万三级行业,0.00,-,-,0.00,-,-,0.00,0.00
9,801782,国有大型银行Ⅱ(申万),1845.58,-0.13,1.72,44.19亿,104.14亿,0,6,申万二级行业,-2.42,1848.80,1827.42,0.00,1.73,6.67亿,0.00,0.00
10,861168,全息技术,3470.70,4.59,1.51,124.07亿,129.40亿,7,4,东财概念,152.23,3511.90,3429.72,0.00,3.84,4.26亿,0.00,0.00
