序号,代码,名称,最新价(元) 10:28,涨跌幅(%) 10:28,证券类型,涨跌幅(%) 2026.07.09,成交额(元) 2026.07.09,成交额(元) 10:28,申万行业分类,股票简称,东财行业总分类,概念,涨跌额(元) 10:28,最高价(元) 10:28,最低价(元) 10:28,换手率(%) 10:28,量比 10:28,成交量(股) 10:28,市盈率(动)(倍) 2026.07.10,市净率(倍) 2026.07.10,总市值(元) 2026.07.10,流通市值(元) 2026.07.10
1,920136,永励精密,26.33,-22.56,A股,76.35,6.36亿,1.87亿,汽车-汽车零部件-底盘与发动机系统,永励精密,汽车-汽车零部件-底盘与发动机系统,专精特新、融资融券、新能源车、2026中报预增、次新股,-7.670,29.20,25.90,33.40,1.61,701.31万,22.63,1.8529,21.06亿,5.53亿
2,300626,华瑞股份,32.94,-1.23,A股,20.01,3.37亿,2.39亿,电力设备-电机Ⅱ-电机Ⅲ,华瑞股份,电力设备-电机Ⅱ-电机Ⅲ,军工、医药电商、2025年报扭亏、昨日高振幅、央国企改革、昨日首板、创业板综、新能源车、参股新三板、机器人概念、最近多板、特斯拉概念,-0.410,34.63,32.12,4.00,2.79,720.06万,217.55,11.1990,59.26亿,59.22亿
3,300469,信息发展,60.95,2.20,A股,20.00,10.77亿,5.37亿,计算机-软件开发-垂直应用软件,信息发展,计算机-软件开发-垂直应用软件,北斗导航、区块链、数字经济、昨日高振幅、食品安全、车联网、数字乡村、AI智能体、最近多板、腾讯概念、信创、工业大麻、AI应用、DeepSeek概念、人工智能、无人驾驶、阿里概念、云计算、数据要素、智慧政务、安防概念、融资融券、数字货币、深股通、昨日首板、虚拟现实、智慧城市、小盘股、国产软件、卫星导航、创业板综、小盘成长、冷链物流,1.310,63.02,60.50,3.51,4.64,871.92万,-120.34,64.5655,151.13亿,151.05亿
4,301607,富特科技,58.56,2.07,A股,20.00,10.60亿,8.10亿,汽车-汽车零部件-汽车电子电气系统,富特科技,汽车-汽车零部件-汽车电子电气系统,专精特新、融资融券、昨日高振幅、高压快充、充电桩、深股通、昨日首板、新能源车、第三代半导体、小米概念、最近多板、小米汽车、比亚迪概念、创业板综、2025年报预增,1.190,62.60,57.49,8.85,3.04,1343.39万,44.51,7.5882,137.01亿,88.83亿
5,688328,深科达,122.41,19.99,A股,20.00,11.42亿,16.07亿,机械设备-专用设备-其他专用设备,深科达,机械设备-专用设备-其他专用设备,国产芯片、专精特新、电子纸概念、昨日高振幅、新能源车、光通信模块、第三代半导体、存储芯片、深圳特区、柔性屏、新型工业化、华为概念、小米概念、最近多板、消费电子概念、智能穿戴、CPO概念、OLED、混合现实、机器人概念、融资融券、2025年报扭亏、AI眼镜、显示技术、昨日首板、虚拟现实、半导体概念、先进封装、机器视觉、锂电池概念、先进封装设备、机器人执行器、MiniLED,20.390,122.42,112.11,14.18,6.19,1339.75万,106.79,13.7516,115.62亿,115.62亿
6,688333,铂力特,115.54,6.97,A股,20.00,17.98亿,17.14亿,机械设备-通用设备-其他通用设备,铂力特,机械设备-通用设备-其他通用设备,火箭发射、西部大开发、昨日高振幅、3D打印、最近多板、电池技术、消费电子概念、固态电池、AI手机结构件、核能核电、小鹏汇天、2025年报预增、机器人概念、AI手机、军工、安防概念、大飞机、航空发动机、低空经济、融资融券、昨日首板、无人机、上证380、蓝箭航天、商业航天、沪股通、小盘股、人形机器人、卫星导航、3D打印设备、导弹、小盘成长、飞行汽车,7.530,119.83,109.73,5.37,3.82,1472.95万,472.01,6.3616,316.73亿,316.73亿
7,688432,有研硅,56.50,5.08,A股,20.00,42.85亿,27.43亿,电子-半导体-半导体材料,有研硅,电子-半导体-半导体材料,题材股、国产芯片、融资融券、昨日高振幅、近期新高、沪股通、绿色电力、硅能源、半导体概念、存储芯片、最近多板、东方财富热股、小盘股、趋势股、中芯概念、历史新高 、百日新高 、半导体硅片,2.730,58.80,50.02,3.93,2.51,4909.75万,351.89,15.8961,706.30亿,706.30亿
8,688610,埃科光电,243.99,5.40,A股,20.00,5.57亿,4.89亿,机械设备-通用设备-仪器仪表,埃科光电,机械设备-通用设备-仪器仪表,国产芯片、专精特新、融资融券、昨日高振幅、AI眼镜、昨日首板、沪股通、半导体概念、PCB、最近多板、光伏概念、机器视觉、锂电池概念、2025年报预增、基因测序、机器人概念、MiniLED,12.490,249.55,231.50,4.93,4.53,201.86万,178.73,10.6863,165.90亿,99.86亿
9,688720,艾森股份,117.47,11.24,A股,20.00,11.23亿,9.72亿,电子-半导体-半导体材料,艾森股份,电子-半导体-半导体材料,国产芯片、专精特新、昨日高振幅、国家大基金持股、盛合晶微、存储芯片、最近多板、东方财富热股、趋势股、中芯概念、光刻机/胶、百日新高 、OLED、2025年报预增、题材股、融资融券、近期新高、昨日首板、沪股通、半导体概念、先进封装、PCB、玻璃基板、历史新高 、先进封装材料,11.870,120.00,110.88,10.69,4.68,835.94万,382.47,13.9299,144.06亿,91.85亿
10,301379,天山电子,37.59,1.68,A股,19.99,14.59亿,13.96亿,电子-光学光电子-面板,天山电子,电子-光学光电子-面板,题材股、低空经济、融资融券、鸿蒙概念、两岸合作、西部大开发、昨日高振幅、深股通、昨日首板、无人机、存储芯片、PCB、最近多板、长安汽车概念、东方财富热股、趋势股、消费电子概念、比亚迪概念、智能家居、海峡两岸、人工智能、创业板综、汽车电子、MiniLED,0.620,39.30,36.05,17.05,3.48,3710.86万,131.82,7.2943,103.90亿,81.81亿
11,688371,菲沃泰,46.26,10.12,A股,19.99,5.82亿,6.52亿,电子-电子化学品Ⅱ-电子化学品Ⅲ,菲沃泰,电子-电子化学品Ⅱ-电子化学品Ⅲ,中越经济一体化、专精特新、医疗器械概念、融资融券、昨日高振幅、液冷概念、AI眼镜、昨日首板、沪股通、苹果概念、华为概念、小米概念、最近多板、消费电子概念、一带一路、智能家居、CPO概念、脑机接口,4.250,48.80,42.11,4.21,5.68,1413.37万,-182.40,7.9839,154.75亿,154.75亿
12,688584,上海合晶,45.75,13.61,A股,19.99,10.76亿,15.72亿,电子-半导体-半导体材料,上海合晶,电子-半导体-半导体材料,题材股、国产芯片、专精特新、融资融券、昨日高振幅、昨日首板、贬值受益、沪股通、半导体概念、最近多板、东方财富热股、小盘股、趋势股、半导体硅片,5.480,48.32,44.00,9.88,4.98,3392.64万,609.31,7.3510,305.89亿,156.92亿
